Size, Time
2, 9.775161743164062e-06
2, 9.5367431640625e-06
2, 1.0728836059570312e-05
2, 1.049041748046875e-05
2, 1.0251998901367188e-05
2, 1.1444091796875e-05
2, 9.5367431640625e-06
2, 1.0967254638671875e-05
2, 1.1205673217773438e-05
2, 1.1444091796875e-05
4, 1.1920928955078125e-05
4, 1.1682510375976562e-05
4, 1.5020370483398438e-05
4, 1.2159347534179688e-05
4, 1.239776611328125e-05
4, 1.33514404296875e-05
4, 1.2159347534179688e-05
4, 1.1682510375976562e-05
4, 9.775161743164062e-06
4, 9.298324584960938e-06
8, 1.430511474609375e-05
8, 1.2159347534179688e-05
8, 1.33514404296875e-05
8, 1.4066696166992188e-05
8, 1.2636184692382812e-05
8, 1.1920928955078125e-05
8, 1.2636184692382812e-05
8, 1.3828277587890625e-05
8, 1.1920928955078125e-05
8, 1.1444091796875e-05
16, 1.4066696166992188e-05
16, 1.430511474609375e-05
16, 1.3589859008789062e-05
16, 1.239776611328125e-05
16, 1.239776611328125e-05
16, 1.33514404296875e-05
16, 1.2636184692382812e-05
16, 1.2636184692382812e-05
16, 1.2874603271484375e-05
16, 1.3113021850585938e-05
32, 1.4781951904296875e-05
32, 1.4543533325195312e-05
32, 2.7179718017578125e-05
32, 3.743171691894531e-05
32, 1.4543533325195312e-05
32, 1.2159347534179688e-05
32, 1.4781951904296875e-05
32, 1.4543533325195312e-05
32, 1.3589859008789062e-05
32, 1.621246337890625e-05
64, 1.3589859008789062e-05
64, 1.4543533325195312e-05
64, 1.6689300537109375e-05
64, 1.33514404296875e-05
64, 1.6927719116210938e-05
64, 1.3113021850585938e-05
64, 1.3828277587890625e-05
64, 1.4066696166992188e-05
64, 1.3589859008789062e-05
64, 1.5497207641601562e-05
128, 1.4066696166992188e-05
128, 1.5020370483398438e-05
128, 1.5974044799804688e-05
128, 1.33514404296875e-05
128, 1.4781951904296875e-05
128, 2.8848648071289062e-05
128, 1.3589859008789062e-05
128, 3.4809112548828125e-05
128, 1.5974044799804688e-05
128, 1.6927719116210938e-05
