Size, Time
2, 1.049041748046875e-05
2, 1.1444091796875e-05
2, 1.0251998901367188e-05
2, 1.1205673217773438e-05
2, 1.0013580322265625e-05
2, 1.0013580322265625e-05
2, 1.049041748046875e-05
2, 9.775161743164062e-06
2, 1.1682510375976562e-05
2, 1.1205673217773438e-05
4, 1.1682510375976562e-05
4, 1.1920928955078125e-05
4, 1.2159347534179688e-05
4, 1.049041748046875e-05
4, 1.2874603271484375e-05
4, 1.1920928955078125e-05
4, 1.239776611328125e-05
4, 1.1444091796875e-05
4, 1.1682510375976562e-05
4, 1.2159347534179688e-05
8, 1.1920928955078125e-05
8, 3.123283386230469e-05
8, 1.2874603271484375e-05
8, 1.2874603271484375e-05
8, 1.3828277587890625e-05
8, 1.239776611328125e-05
8, 1.3828277587890625e-05
8, 1.430511474609375e-05
8, 1.2636184692382812e-05
8, 3.0040740966796875e-05
16, 1.5020370483398438e-05
16, 1.1920928955078125e-05
16, 1.2874603271484375e-05
16, 1.2636184692382812e-05
16, 1.2874603271484375e-05
16, 1.4543533325195312e-05
16, 1.3828277587890625e-05
16, 1.4781951904296875e-05
16, 1.239776611328125e-05
16, 1.3828277587890625e-05
32, 1.4066696166992188e-05
32, 1.33514404296875e-05
32, 1.7642974853515625e-05
32, 1.4066696166992188e-05
32, 1.1682510375976562e-05
32, 1.2159347534179688e-05
32, 1.52587890625e-05
32, 1.4543533325195312e-05
32, 1.430511474609375e-05
32, 1.4066696166992188e-05
64, 1.5020370483398438e-05
64, 1.4543533325195312e-05
64, 1.3589859008789062e-05
64, 1.4781951904296875e-05
64, 1.52587890625e-05
64, 1.3828277587890625e-05
64, 1.33514404296875e-05
64, 3.1948089599609375e-05
64, 1.4066696166992188e-05
64, 1.6689300537109375e-05
128, 1.2636184692382812e-05
128, 1.5020370483398438e-05
128, 1.430511474609375e-05
128, 1.5974044799804688e-05
128, 1.5020370483398438e-05
128, 1.5020370483398438e-05
128, 1.4781951904296875e-05
128, 1.71661376953125e-05
128, 1.52587890625e-05
128, 1.6689300537109375e-05
256, 1.5020370483398438e-05
256, 1.7642974853515625e-05
256, 1.4543533325195312e-05
256, 1.6927719116210938e-05
256, 1.7642974853515625e-05
256, 1.6927719116210938e-05
256, 1.7642974853515625e-05
256, 1.8835067749023438e-05
256, 1.6689300537109375e-05
256, 1.8596649169921875e-05
512, 1.7642974853515625e-05
512, 1.6450881958007812e-05
512, 1.7881393432617188e-05
512, 1.6450881958007812e-05
512, 2.2411346435546875e-05
512, 1.6689300537109375e-05
512, 1.9788742065429688e-05
512, 1.8835067749023438e-05
512, 1.621246337890625e-05
512, 1.71661376953125e-05
1024, 1.8358230590820312e-05
1024, 2.09808349609375e-05
1024, 1.6689300537109375e-05
1024, 3.838539123535156e-05
1024, 1.9311904907226562e-05
1024, 2.765655517578125e-05
1024, 3.552436828613281e-05
1024, 2.2411346435546875e-05
1024, 1.7404556274414062e-05
1024, 1.6927719116210938e-05
2048, 1.7881393432617188e-05
2048, 1.7642974853515625e-05
2048, 2.1457672119140625e-05
2048, 1.8596649169921875e-05
2048, 2.288818359375e-05
2048, 0.00011134147644042969
2048, 2.0742416381835938e-05
2048, 1.2874603271484375e-05
2048, 1.8596649169921875e-05
2048, 1.8358230590820312e-05
4096, 2.1219253540039062e-05
4096, 2.002716064453125e-05
4096, 4.38690185546875e-05
4096, 2.0503997802734375e-05
4096, 1.9550323486328125e-05
4096, 1.8835067749023438e-05
4096, 1.9788742065429688e-05
4096, 2.1696090698242188e-05
4096, 1.2636184692382812e-05
4096, 2.3126602172851562e-05
8192, 2.2649765014648438e-05
8192, 1.9550323486328125e-05
8192, 2.09808349609375e-05
8192, 2.288818359375e-05
8192, 2.3603439331054688e-05
8192, 2.002716064453125e-05
8192, 2.5987625122070312e-05
8192, 1.9550323486328125e-05
8192, 2.384185791015625e-05
8192, 2.193450927734375e-05
16384, 2.0742416381835938e-05
16384, 2.09808349609375e-05
16384, 2.2649765014648438e-05
16384, 1.9788742065429688e-05
16384, 2.002716064453125e-05
16384, 3.9577484130859375e-05
16384, 2.2411346435546875e-05
16384, 2.1457672119140625e-05
16384, 2.193450927734375e-05
16384, 2.1457672119140625e-05
32768, 2.1219253540039062e-05
32768, 2.4080276489257812e-05
32768, 2.288818359375e-05
32768, 2.4557113647460938e-05
32768, 2.2411346435546875e-05
32768, 2.1219253540039062e-05
32768, 2.86102294921875e-05
32768, 2.6941299438476562e-05
32768, 2.288818359375e-05
32768, 2.3603439331054688e-05
65536, 2.2172927856445312e-05
65536, 2.6702880859375e-05
65536, 2.288818359375e-05
65536, 2.2411346435546875e-05
65536, 2.5987625122070312e-05
65536, 2.1696090698242188e-05
65536, 2.4080276489257812e-05
65536, 2.6226043701171875e-05
65536, 2.5272369384765625e-05
65536, 2.5272369384765625e-05
131072, 2.2172927856445312e-05
131072, 2.384185791015625e-05
131072, 2.765655517578125e-05
131072, 2.765655517578125e-05
131072, 2.3603439331054688e-05
131072, 2.384185791015625e-05
131072, 2.3126602172851562e-05
131072, 2.288818359375e-05
131072, 2.3365020751953125e-05
131072, 2.3603439331054688e-05
262144, 2.4318695068359375e-05
262144, 2.7418136596679688e-05
262144, 2.4080276489257812e-05
262144, 2.6464462280273438e-05
262144, 2.7894973754882812e-05
262144, 2.47955322265625e-05
262144, 2.5033950805664062e-05
262144, 2.5510787963867188e-05
262144, 2.9087066650390625e-05
262144, 2.4080276489257812e-05
524288, 2.5272369384765625e-05
524288, 2.6464462280273438e-05
524288, 3.790855407714844e-05
524288, 2.4557113647460938e-05
524288, 2.5987625122070312e-05
524288, 2.6941299438476562e-05
524288, 2.574920654296875e-05
524288, 2.7418136596679688e-05
524288, 2.7179718017578125e-05
524288, 2.5033950805664062e-05
1048576, 3.0279159545898438e-05
1048576, 4.4345855712890625e-05
1048576, 2.574920654296875e-05
1048576, 2.6941299438476562e-05
1048576, 2.6702880859375e-05
1048576, 2.8133392333984375e-05
1048576, 2.8371810913085938e-05
1048576, 2.574920654296875e-05
1048576, 2.8848648071289062e-05
1048576, 2.765655517578125e-05
