Size, Time
100, 6.9141387939453125e-06
100, 8.821487426757812e-06
100, 1.0967254638671875e-05
100, 9.298324584960938e-06
200, 1.0251998901367188e-05
200, 9.059906005859375e-06
200, 9.298324584960938e-06
200, 8.106231689453125e-06
300, 2.0742416381835938e-05
300, 2.002716064453125e-05
300, 1.5974044799804688e-05
300, 2.1696090698242188e-05
400, 8.821487426757812e-06
400, 1.0728836059570312e-05
400, 1.0251998901367188e-05
400, 9.298324584960938e-06
500, 1.0967254638671875e-05
500, 1.0967254638671875e-05
500, 1.1205673217773438e-05
500, 1.0728836059570312e-05
600, 9.775161743164062e-06
600, 9.059906005859375e-06
600, 1.1205673217773438e-05
600, 9.775161743164062e-06
700, 1.0013580322265625e-05
700, 1.0013580322265625e-05
700, 1.0251998901367188e-05
700, 1.0967254638671875e-05
800, 1.0251998901367188e-05
800, 9.5367431640625e-06
800, 5.3882598876953125e-05
800, 1.0013580322265625e-05
900, 9.298324584960938e-06
900, 1.0251998901367188e-05
900, 1.0251998901367188e-05
900, 7.867813110351562e-06
1000, 1.9550323486328125e-05
1000, 1.0251998901367188e-05
1000, 1.7404556274414062e-05
1000, 9.059906005859375e-06
1100, 9.775161743164062e-06
1100, 1.0013580322265625e-05
1100, 1.0967254638671875e-05
1100, 7.62939453125e-06
1200, 8.821487426757812e-06
1200, 7.3909759521484375e-06
1200, 1.0251998901367188e-05
1200, 1.0251998901367188e-05
1300, 1.239776611328125e-05
1300, 1.1444091796875e-05
1300, 1.0728836059570312e-05
1300, 7.152557373046875e-06
1400, 9.298324584960938e-06
1400, 9.298324584960938e-06
1400, 9.059906005859375e-06
1400, 1.0967254638671875e-05
1500, 1.811981201171875e-05
1500, 1.6689300537109375e-05
1500, 1.0967254638671875e-05
1500, 1.1682510375976562e-05
1600, 1.0013580322265625e-05
1600, 9.5367431640625e-06
1600, 1.1205673217773438e-05
1600, 2.0265579223632812e-05
1700, 1.1444091796875e-05
1700, 1.0251998901367188e-05
1700, 9.5367431640625e-06
1700, 1.0251998901367188e-05
1800, 7.152557373046875e-06
1800, 1.0251998901367188e-05
1800, 1.239776611328125e-05
1800, 8.58306884765625e-06
1900, 2.9325485229492188e-05
1900, 1.0251998901367188e-05
1900, 9.775161743164062e-06
1900, 9.298324584960938e-06
2000, 1.1444091796875e-05
2000, 1.3113021850585938e-05
2000, 8.106231689453125e-06
2000, 9.775161743164062e-06
2100, 1.0251998901367188e-05
2100, 1.0728836059570312e-05
2100, 1.3113021850585938e-05
2100, 9.775161743164062e-06
2200, 1.0728836059570312e-05
2200, 9.775161743164062e-06
2200, 9.5367431640625e-06
2200, 1.0013580322265625e-05
2300, 1.0728836059570312e-05
2300, 1.0728836059570312e-05
2300, 9.5367431640625e-06
2300, 1.0251998901367188e-05
2400, 9.298324584960938e-06
2400, 1.049041748046875e-05
2400, 1.0251998901367188e-05
2400, 1.0967254638671875e-05
2500, 1.0013580322265625e-05
2500, 7.867813110351562e-06
2500, 9.298324584960938e-06
2500, 1.0251998901367188e-05
2600, 9.298324584960938e-06
2600, 1.0728836059570312e-05
2600, 1.049041748046875e-05
2600, 1.0967254638671875e-05
2700, 1.2159347534179688e-05
2700, 1.0251998901367188e-05
2700, 1.0728836059570312e-05
2700, 1.1444091796875e-05
2800, 1.049041748046875e-05
2800, 9.775161743164062e-06
2800, 1.1205673217773438e-05
2800, 9.5367431640625e-06
2900, 1.1444091796875e-05
2900, 9.298324584960938e-06
2900, 7.867813110351562e-06
2900, 1.0251998901367188e-05
3000, 9.5367431640625e-06
3000, 1.0728836059570312e-05
3000, 1.0013580322265625e-05
3000, 1.049041748046875e-05
3100, 8.821487426757812e-06
3100, 1.0728836059570312e-05
3100, 9.5367431640625e-06
3100, 1.0013580322265625e-05
3200, 9.5367431640625e-06
3200, 1.0967254638671875e-05
3200, 1.049041748046875e-05
3200, 1.0251998901367188e-05
3300, 1.0728836059570312e-05
3300, 8.58306884765625e-06
3300, 1.1920928955078125e-05
3300, 1.1444091796875e-05
3400, 1.0013580322265625e-05
3400, 1.0728836059570312e-05
3400, 1.0728836059570312e-05
3400, 1.049041748046875e-05
3500, 1.0967254638671875e-05
3500, 1.0967254638671875e-05
3500, 1.1205673217773438e-05
3500, 8.58306884765625e-06
3600, 1.0728836059570312e-05
3600, 1.0251998901367188e-05
3600, 9.5367431640625e-06
3600, 9.059906005859375e-06
3700, 1.0013580322265625e-05
3700, 1.049041748046875e-05
3700, 9.5367431640625e-06
3700, 1.0728836059570312e-05
3800, 1.0251998901367188e-05
3800, 1.0013580322265625e-05
3800, 1.0728836059570312e-05
3800, 1.3113021850585938e-05
3900, 8.344650268554688e-06
3900, 1.0728836059570312e-05
3900, 1.1205673217773438e-05
3900, 9.298324584960938e-06
4000, 9.298324584960938e-06
4000, 9.775161743164062e-06
4000, 1.0013580322265625e-05
4000, 9.775161743164062e-06
4100, 1.1205673217773438e-05
4100, 1.2159347534179688e-05
4100, 9.775161743164062e-06
4100, 1.0251998901367188e-05
4200, 1.0251998901367188e-05
4200, 9.775161743164062e-06
4200, 1.8358230590820312e-05
4200, 3.4809112548828125e-05
4300, 1.0013580322265625e-05
4300, 1.0013580322265625e-05
4300, 1.0251998901367188e-05
4300, 9.5367431640625e-06
4400, 1.0013580322265625e-05
4400, 9.5367431640625e-06
4400, 1.4066696166992188e-05
4400, 1.049041748046875e-05
4500, 1.049041748046875e-05
4500, 9.059906005859375e-06
4500, 1.0013580322265625e-05
4500, 9.5367431640625e-06
4600, 1.0728836059570312e-05
4600, 9.775161743164062e-06
4600, 1.049041748046875e-05
4600, 1.049041748046875e-05
4700, 2.0503997802734375e-05
4700, 2.0742416381835938e-05
4700, 1.8835067749023438e-05
4700, 1.9550323486328125e-05
4800, 1.0728836059570312e-05
4800, 1.0013580322265625e-05
4800, 9.775161743164062e-06
4800, 1.0728836059570312e-05
4900, 1.0967254638671875e-05
4900, 7.62939453125e-06
4900, 1.049041748046875e-05
4900, 1.2159347534179688e-05
5000, 1.0013580322265625e-05
5000, 1.1205673217773438e-05
5000, 9.775161743164062e-06
5000, 1.0013580322265625e-05
5100, 9.775161743164062e-06
5100, 1.0728836059570312e-05
5100, 1.0013580322265625e-05
5100, 1.049041748046875e-05
5200, 1.049041748046875e-05
5200, 1.0013580322265625e-05
5200, 1.049041748046875e-05
5200, 1.0967254638671875e-05
5300, 1.1920928955078125e-05
5300, 1.0251998901367188e-05
5300, 1.1444091796875e-05
5300, 1.0251998901367188e-05
5400, 1.0728836059570312e-05
5400, 9.298324584960938e-06
5400, 1.1205673217773438e-05
5400, 9.059906005859375e-06
5500, 1.239776611328125e-05
5500, 1.0728836059570312e-05
5500, 1.5735626220703125e-05
5500, 2.0503997802734375e-05
5600, 9.059906005859375e-06
5600, 9.775161743164062e-06
5600, 1.0251998901367188e-05
5600, 9.775161743164062e-06
5700, 1.0967254638671875e-05
5700, 1.1205673217773438e-05
5700, 9.775161743164062e-06
5700, 1.049041748046875e-05
5800, 1.0967254638671875e-05
5800, 1.0013580322265625e-05
5800, 1.1205673217773438e-05
5800, 1.0251998901367188e-05
5900, 1.0013580322265625e-05
5900, 9.775161743164062e-06
5900, 9.059906005859375e-06
5900, 9.775161743164062e-06
6000, 9.775161743164062e-06
6000, 1.0013580322265625e-05
6000, 1.1205673217773438e-05
6000, 1.1682510375976562e-05
6100, 1.0013580322265625e-05
6100, 1.0013580322265625e-05
6100, 1.0251998901367188e-05
6100, 9.059906005859375e-06
6200, 9.5367431640625e-06
6200, 1.049041748046875e-05
6200, 1.0728836059570312e-05
6200, 1.0251998901367188e-05
6300, 9.5367431640625e-06
6300, 1.049041748046875e-05
6300, 9.5367431640625e-06
6300, 1.1444091796875e-05
