Type, Size, Saturation, Time
list, 1, 5, 2.86102294921875e-06
list, 1, 5, 2.86102294921875e-06
list, 1, 5, 2.384185791015625e-06
list, 1, 5, 3.0994415283203125e-06
list, 1, 5, 2.1457672119140625e-06
list, 1, 5, 4.0531158447265625e-06
list, 1, 5, 2.6226043701171875e-06
list, 1, 5, 2.86102294921875e-06
list, 1, 5, 3.0994415283203125e-06
list, 1, 5, 3.0994415283203125e-06
list, 1, 10, 3.0994415283203125e-06
list, 1, 10, 2.86102294921875e-06
list, 1, 10, 3.814697265625e-06
list, 1, 10, 3.337860107421875e-06
list, 1, 10, 2.6226043701171875e-06
list, 1, 10, 2.6226043701171875e-06
list, 1, 10, 2.6226043701171875e-06
list, 1, 10, 2.6226043701171875e-06
list, 1, 10, 3.0994415283203125e-06
list, 1, 10, 3.337860107421875e-06
list, 1, 15, 3.0994415283203125e-06
list, 1, 15, 4.291534423828125e-06
list, 1, 15, 4.0531158447265625e-06
list, 1, 15, 3.0994415283203125e-06
list, 1, 15, 2.384185791015625e-06
list, 1, 15, 3.0994415283203125e-06
list, 1, 15, 2.86102294921875e-06
list, 1, 15, 3.0994415283203125e-06
list, 1, 15, 3.0994415283203125e-06
list, 1, 15, 2.384185791015625e-06
list, 1, 20, 3.337860107421875e-06
list, 1, 20, 2.86102294921875e-06
list, 1, 20, 4.0531158447265625e-06
list, 1, 20, 2.86102294921875e-06
list, 1, 20, 2.6226043701171875e-06
list, 1, 20, 3.0994415283203125e-06
list, 1, 20, 2.86102294921875e-06
list, 1, 20, 3.814697265625e-06
list, 1, 20, 3.0994415283203125e-06
list, 1, 20, 2.86102294921875e-06
list, 1, 25, 2.86102294921875e-06
list, 1, 25, 2.6226043701171875e-06
list, 1, 25, 2.86102294921875e-06
list, 1, 25, 2.86102294921875e-06
list, 1, 25, 2.6226043701171875e-06
list, 1, 25, 2.6226043701171875e-06
list, 1, 25, 2.86102294921875e-06
list, 1, 25, 4.0531158447265625e-06
list, 1, 25, 3.337860107421875e-06
list, 1, 25, 4.0531158447265625e-06
list, 1, 30, 3.337860107421875e-06
list, 1, 30, 2.384185791015625e-06
list, 1, 30, 3.337860107421875e-06
list, 1, 30, 3.0994415283203125e-06
list, 1, 30, 3.5762786865234375e-06
list, 1, 30, 3.0994415283203125e-06
list, 1, 30, 3.337860107421875e-06
list, 1, 30, 2.6226043701171875e-06
list, 1, 30, 3.0994415283203125e-06
list, 1, 30, 3.5762786865234375e-06
list, 1, 35, 2.6226043701171875e-06
