Type, Size, Saturation, Time
list, 1, 5, 4.315376281738281e-05
list, 1, 5, 3.5762786865234375e-05
list, 1, 5, 3.7670135498046875e-05
list, 1, 5, 2.7418136596679688e-05
list, 1, 5, 2.574920654296875e-05
list, 1, 5, 3.409385681152344e-05
list, 1, 5, 2.6226043701171875e-05
list, 1, 5, 6.818771362304688e-05
list, 1, 5, 3.361701965332031e-05
list, 1, 5, 2.956390380859375e-05
list, 1, 10, 3.7670135498046875e-05
list, 1, 10, 2.7179718017578125e-05
list, 1, 10, 3.5762786865234375e-05
list, 1, 10, 3.886222839355469e-05
list, 1, 10, 3.600120544433594e-05
list, 1, 10, 4.291534423828125e-05
list, 1, 10, 2.3603439331054688e-05
list, 1, 10, 3.314018249511719e-05
list, 1, 10, 3.743171691894531e-05
list, 1, 10, 4.1961669921875e-05
list, 1, 15, 4.076957702636719e-05
list, 1, 15, 4.673004150390625e-05
list, 1, 15, 4.9591064453125e-05
list, 1, 15, 3.981590270996094e-05
list, 1, 15, 4.696846008300781e-05
list, 1, 15, 3.123283386230469e-05
list, 1, 15, 3.62396240234375e-05
list, 1, 15, 3.1948089599609375e-05
list, 1, 15, 4.076957702636719e-05
list, 1, 15, 3.0040740966796875e-05
list, 1, 20, 3.457069396972656e-05
list, 1, 20, 3.24249267578125e-05
list, 1, 20, 2.4557113647460938e-05
list, 1, 20, 3.3855438232421875e-05
list, 1, 20, 3.314018249511719e-05
list, 1, 20, 3.0994415283203125e-05
list, 1, 20, 5.1975250244140625e-05
list, 1, 20, 5.2928924560546875e-05
list, 1, 20, 3.504753112792969e-05
list, 1, 20, 4.0531158447265625e-05
list, 1, 25, 4.363059997558594e-05
list, 1, 25, 4.029273986816406e-05
list, 1, 25, 3.695487976074219e-05
list, 1, 25, 3.3855438232421875e-05
list, 1, 25, 5.53131103515625e-05
list, 1, 25, 3.3855438232421875e-05
list, 1, 25, 3.62396240234375e-05
list, 1, 25, 4.744529724121094e-05
list, 1, 25, 3.0994415283203125e-05
list, 1, 25, 5.459785461425781e-05
list, 1, 30, 4.839897155761719e-05
list, 1, 30, 3.266334533691406e-05
list, 1, 30, 4.76837158203125e-05
list, 1, 30, 4.00543212890625e-05
list, 1, 30, 4.8160552978515625e-05
list, 1, 30, 2.9325485229492188e-05
list, 1, 30, 4.9591064453125e-05
list, 1, 30, 4.076957702636719e-05
list, 1, 30, 6.0558319091796875e-05
list, 1, 30, 3.933906555175781e-05
list, 1, 35, 3.3855438232421875e-05
list, 1, 35, 4.291534423828125e-05
list, 1, 35, 5.173683166503906e-05
list, 1, 35, 4.4345855712890625e-05
list, 1, 35, 2.8371810913085938e-05
list, 1, 35, 3.314018249511719e-05
list, 1, 35, 3.314018249511719e-05
list, 1, 35, 3.170967102050781e-05
list, 1, 35, 4.553794860839844e-05
list, 1, 35, 3.814697265625e-05
list, 1, 40, 3.62396240234375e-05
list, 1, 40, 5.5789947509765625e-05
list, 1, 40, 5.412101745605469e-05
list, 1, 40, 4.696846008300781e-05
list, 1, 40, 4.3392181396484375e-05
list, 1, 40, 5.1975250244140625e-05
list, 1, 40, 5.3882598876953125e-05
list, 1, 40, 2.8848648071289062e-05
list, 1, 40, 2.5510787963867188e-05
list, 1, 40, 3.266334533691406e-05
list, 1, 45, 4.57763671875e-05
list, 1, 45, 3.552436828613281e-05
list, 1, 45, 2.7418136596679688e-05
list, 1, 45, 2.5510787963867188e-05
list, 1, 45, 5.650520324707031e-05
list, 1, 45, 2.9325485229492188e-05
list, 1, 45, 3.719329833984375e-05
list, 1, 45, 3.314018249511719e-05
list, 1, 45, 2.7179718017578125e-05
list, 1, 45, 4.029273986816406e-05
list, 1, 50, 3.4809112548828125e-05
list, 1, 50, 3.9577484130859375e-05
list, 1, 50, 3.8623809814453125e-05
list, 1, 50, 3.337860107421875e-05
list, 1, 50, 3.457069396972656e-05
list, 1, 50, 4.315376281738281e-05
list, 1, 50, 8.559226989746094e-05
list, 1, 50, 3.4809112548828125e-05
list, 1, 50, 4.267692565917969e-05
list, 1, 50, 3.24249267578125e-05
list, 1, 55, 2.6941299438476562e-05
list, 1, 55, 3.1948089599609375e-05
list, 1, 55, 3.910064697265625e-05
list, 1, 55, 3.409385681152344e-05
list, 1, 55, 3.314018249511719e-05
list, 1, 55, 4.291534423828125e-05
list, 1, 55, 3.4809112548828125e-05
list, 1, 55, 3.218650817871094e-05
list, 1, 55, 3.0517578125e-05
list, 1, 55, 4.220008850097656e-05
list, 1, 60, 3.7670135498046875e-05
list, 1, 60, 2.6226043701171875e-05
list, 1, 60, 2.9087066650390625e-05
list, 1, 60, 3.910064697265625e-05
list, 1, 60, 4.7206878662109375e-05
list, 1, 60, 2.8371810913085938e-05
list, 1, 60, 4.0531158447265625e-05
list, 1, 60, 3.6716461181640625e-05
list, 1, 60, 3.7670135498046875e-05
list, 1, 60, 4.029273986816406e-05
list, 1, 65, 5.316734313964844e-05
list, 1, 65, 5.3882598876953125e-05
list, 1, 65, 3.910064697265625e-05
list, 1, 65, 3.6716461181640625e-05
list, 1, 65, 3.695487976074219e-05
list, 1, 65, 3.218650817871094e-05
list, 1, 65, 3.24249267578125e-05
list, 1, 65, 3.528594970703125e-05
list, 1, 65, 3.62396240234375e-05
list, 1, 65, 4.76837158203125e-05
list, 1, 70, 4.839897155761719e-05
list, 1, 70, 3.075599670410156e-05
list, 1, 70, 2.8371810913085938e-05
list, 1, 70, 2.9802322387695312e-05
list, 1, 70, 3.695487976074219e-05
list, 1, 70, 3.4332275390625e-05
list, 1, 70, 3.7670135498046875e-05
list, 1, 70, 3.266334533691406e-05
list, 1, 70, 2.9802322387695312e-05
list, 1, 70, 4.172325134277344e-05
list, 1, 75, 5.412101745605469e-05
list, 1, 75, 5.53131103515625e-05
list, 1, 75, 2.9802322387695312e-05
list, 1, 75, 5.340576171875e-05
list, 1, 75, 3.552436828613281e-05
list, 1, 75, 3.170967102050781e-05
list, 1, 75, 3.0040740966796875e-05
list, 1, 75, 3.457069396972656e-05
list, 1, 75, 3.314018249511719e-05
list, 1, 75, 3.647804260253906e-05
list, 1, 80, 3.743171691894531e-05
list, 1, 80, 3.3855438232421875e-05
list, 1, 80, 4.1484832763671875e-05
list, 1, 80, 3.1948089599609375e-05
list, 1, 80, 2.6941299438476562e-05
list, 1, 80, 3.0517578125e-05
list, 1, 80, 2.8848648071289062e-05
list, 1, 80, 3.075599670410156e-05
list, 1, 80, 5.054473876953125e-05
list, 1, 80, 3.075599670410156e-05
list, 1, 85, 4.744529724121094e-05
list, 1, 85, 4.220008850097656e-05
list, 1, 85, 3.62396240234375e-05
list, 1, 85, 0.0001125335693359375
list, 1, 85, 3.24249267578125e-05
list, 1, 85, 4.029273986816406e-05
list, 1, 85, 3.361701965332031e-05
list, 1, 85, 3.62396240234375e-05
list, 1, 85, 5.364418029785156e-05
list, 1, 85, 2.8371810913085938e-05
list, 1, 90, 2.5987625122070312e-05
list, 1, 90, 2.8133392333984375e-05
list, 1, 90, 4.7206878662109375e-05
list, 1, 90, 4.57763671875e-05
list, 1, 90, 4.9591064453125e-05
list, 1, 90, 3.790855407714844e-05
list, 1, 90, 3.337860107421875e-05
list, 1, 90, 2.47955322265625e-05
list, 1, 90, 3.1948089599609375e-05
list, 1, 90, 3.314018249511719e-05
list, 1, 95, 3.7670135498046875e-05
list, 1, 95, 2.8133392333984375e-05
list, 1, 95, 2.9802322387695312e-05
list, 1, 95, 2.9325485229492188e-05
list, 1, 95, 3.0994415283203125e-05
list, 1, 95, 3.123283386230469e-05
list, 1, 95, 3.0279159545898438e-05
list, 1, 95, 3.9577484130859375e-05
list, 1, 95, 3.457069396972656e-05
list, 1, 95, 3.552436828613281e-05
list, 1, 100, 3.886222839355469e-05
list, 1, 100, 2.956390380859375e-05
list, 1, 100, 2.6226043701171875e-05
list, 1, 100, 4.935264587402344e-05
list, 1, 100, 4.482269287109375e-05
list, 1, 100, 3.24249267578125e-05
list, 1, 100, 3.695487976074219e-05
list, 1, 100, 3.0279159545898438e-05
list, 1, 100, 3.981590270996094e-05
list, 1, 100, 2.7418136596679688e-05
list, 2, 5, 3.0040740966796875e-05
list, 2, 5, 2.956390380859375e-05
list, 2, 5, 3.4809112548828125e-05
list, 2, 5, 4.839897155761719e-05
list, 2, 5, 5.2928924560546875e-05
list, 2, 5, 5.269050598144531e-05
list, 2, 5, 4.3392181396484375e-05
list, 2, 5, 4.982948303222656e-05
list, 2, 5, 4.9114227294921875e-05
list, 2, 5, 2.6226043701171875e-05
list, 2, 10, 3.170967102050781e-05
list, 2, 10, 4.76837158203125e-05
list, 2, 10, 4.506111145019531e-05
list, 2, 10, 3.0279159545898438e-05
list, 2, 10, 2.8133392333984375e-05
list, 2, 10, 3.075599670410156e-05
list, 2, 10, 3.4809112548828125e-05
list, 2, 10, 3.218650817871094e-05
list, 2, 10, 2.8371810913085938e-05
list, 2, 10, 3.0994415283203125e-05
list, 2, 15, 3.790855407714844e-05
list, 2, 15, 4.5299530029296875e-05
list, 2, 15, 5.936622619628906e-05
list, 2, 15, 5.602836608886719e-05
list, 2, 15, 0.00010824203491210938
list, 2, 15, 4.673004150390625e-05
list, 2, 15, 3.4809112548828125e-05
list, 2, 15, 3.6716461181640625e-05
list, 2, 15, 2.86102294921875e-05
list, 2, 15, 3.24249267578125e-05
list, 2, 20, 2.765655517578125e-05
list, 2, 20, 3.218650817871094e-05
list, 2, 20, 3.62396240234375e-05
list, 2, 20, 2.6226043701171875e-05
list, 2, 20, 3.600120544433594e-05
list, 2, 20, 2.86102294921875e-05
list, 2, 20, 5.078315734863281e-05
list, 2, 20, 5.3882598876953125e-05
list, 2, 20, 6.413459777832031e-05
list, 2, 20, 2.8133392333984375e-05
list, 2, 25, 3.838539123535156e-05
list, 2, 25, 2.5987625122070312e-05
list, 2, 25, 4.1484832763671875e-05
list, 2, 25, 3.170967102050781e-05
list, 2, 25, 3.147125244140625e-05
list, 2, 25, 3.7670135498046875e-05
list, 2, 25, 4.267692565917969e-05
list, 2, 25, 3.1948089599609375e-05
list, 2, 25, 4.6253204345703125e-05
list, 2, 25, 3.743171691894531e-05
list, 2, 30, 2.9087066650390625e-05
list, 2, 30, 3.075599670410156e-05
list, 2, 30, 2.7894973754882812e-05
list, 2, 30, 2.5033950805664062e-05
list, 2, 30, 2.5033950805664062e-05
list, 2, 30, 3.647804260253906e-05
list, 2, 30, 2.8848648071289062e-05
list, 2, 30, 4.38690185546875e-05
list, 2, 30, 2.956390380859375e-05
list, 2, 30, 3.337860107421875e-05
list, 2, 35, 3.2901763916015625e-05
list, 2, 35, 3.600120544433594e-05
list, 2, 35, 2.5272369384765625e-05
list, 2, 35, 4.363059997558594e-05
list, 2, 35, 5.1021575927734375e-05
list, 2, 35, 5.2928924560546875e-05
list, 2, 35, 4.506111145019531e-05
list, 2, 35, 4.9114227294921875e-05
list, 2, 35, 2.8848648071289062e-05
list, 2, 35, 2.765655517578125e-05
list, 2, 40, 2.9802322387695312e-05
list, 2, 40, 4.839897155761719e-05
list, 2, 40, 6.771087646484375e-05
list, 2, 40, 4.172325134277344e-05
