Type, Size, Saturation, Time
list, 1, 5, 4.124641418457031e-05
list, 1, 5, 3.0994415283203125e-05
list, 1, 5, 3.0279159545898438e-05
list, 1, 5, 2.8133392333984375e-05
list, 1, 5, 4.0531158447265625e-05
list, 1, 5, 2.6226043701171875e-05
list, 1, 5, 3.0040740966796875e-05
list, 1, 5, 3.266334533691406e-05
list, 1, 5, 3.719329833984375e-05
list, 1, 5, 3.838539123535156e-05
list, 1, 10, 6.175041198730469e-05
list, 1, 10, 2.8133392333984375e-05
list, 1, 10, 3.361701965332031e-05
list, 1, 10, 3.528594970703125e-05
list, 1, 10, 2.9802322387695312e-05
list, 1, 10, 3.24249267578125e-05
list, 1, 10, 2.193450927734375e-05
list, 1, 10, 2.765655517578125e-05
list, 1, 10, 3.337860107421875e-05
list, 1, 10, 3.4809112548828125e-05
list, 1, 15, 3.528594970703125e-05
list, 1, 15, 3.24249267578125e-05
list, 1, 15, 4.744529724121094e-05
list, 1, 15, 4.0531158447265625e-05
list, 1, 15, 3.814697265625e-05
list, 1, 15, 3.0279159545898438e-05
list, 1, 15, 2.86102294921875e-05
list, 1, 15, 3.314018249511719e-05
list, 1, 15, 4.76837158203125e-05
list, 1, 15, 3.0040740966796875e-05
list, 1, 20, 3.314018249511719e-05
list, 1, 20, 2.9087066650390625e-05
list, 1, 20, 3.0994415283203125e-05
list, 1, 20, 3.409385681152344e-05
list, 1, 20, 3.1948089599609375e-05
list, 1, 20, 4.4345855712890625e-05
list, 1, 20, 4.410743713378906e-05
list, 1, 20, 3.2901763916015625e-05
list, 1, 20, 3.218650817871094e-05
list, 1, 20, 3.218650817871094e-05
list, 1, 25, 5.340576171875e-05
list, 1, 25, 3.4809112548828125e-05
list, 1, 25, 3.218650817871094e-05
list, 1, 25, 3.457069396972656e-05
list, 1, 25, 3.719329833984375e-05
list, 1, 25, 3.62396240234375e-05
list, 1, 25, 4.315376281738281e-05
list, 1, 25, 3.0279159545898438e-05
list, 1, 25, 7.748603820800781e-05
list, 1, 25, 4.267692565917969e-05
list, 1, 30, 4.696846008300781e-05
list, 1, 30, 2.8848648071289062e-05
list, 1, 30, 4.291534423828125e-05
list, 1, 30, 8.893013000488281e-05
list, 1, 30, 4.220008850097656e-05
list, 1, 30, 3.4332275390625e-05
list, 1, 30, 3.719329833984375e-05
list, 1, 30, 3.361701965332031e-05
list, 1, 30, 3.409385681152344e-05
list, 1, 30, 3.6716461181640625e-05
list, 1, 35, 3.886222839355469e-05
list, 1, 35, 3.528594970703125e-05
list, 1, 35, 4.220008850097656e-05
list, 1, 35, 3.600120544433594e-05
list, 1, 35, 2.6226043701171875e-05
list, 1, 35, 3.075599670410156e-05
list, 1, 35, 2.574920654296875e-05
list, 1, 35, 3.4332275390625e-05
list, 1, 35, 3.361701965332031e-05
list, 1, 35, 3.0994415283203125e-05
list, 1, 40, 3.0040740966796875e-05
list, 1, 40, 3.528594970703125e-05
list, 1, 40, 3.814697265625e-05
list, 1, 40, 3.3855438232421875e-05
list, 1, 40, 3.552436828613281e-05
list, 1, 40, 3.170967102050781e-05
list, 1, 40, 4.029273986816406e-05
list, 1, 40, 2.4557113647460938e-05
list, 1, 40, 2.9802322387695312e-05
list, 1, 40, 4.57763671875e-05
list, 1, 45, 3.981590270996094e-05
list, 1, 45, 4.1961669921875e-05
list, 1, 45, 4.124641418457031e-05
list, 1, 45, 4.124641418457031e-05
list, 1, 45, 4.029273986816406e-05
list, 1, 45, 4.1484832763671875e-05
list, 1, 45, 3.218650817871094e-05
list, 1, 45, 9.489059448242188e-05
list, 1, 45, 3.2901763916015625e-05
list, 1, 45, 3.2901763916015625e-05
list, 1, 50, 4.6253204345703125e-05
list, 1, 50, 3.5762786865234375e-05
list, 1, 50, 3.7670135498046875e-05
list, 1, 50, 2.9087066650390625e-05
list, 1, 50, 4.076957702636719e-05
list, 1, 50, 3.790855407714844e-05
list, 1, 50, 3.457069396972656e-05
list, 1, 50, 2.9802322387695312e-05
list, 1, 50, 3.528594970703125e-05
list, 1, 50, 2.9802322387695312e-05
list, 1, 55, 2.765655517578125e-05
list, 1, 55, 3.504753112792969e-05
list, 1, 55, 4.410743713378906e-05
list, 1, 55, 2.5272369384765625e-05
list, 1, 55, 2.7894973754882812e-05
list, 1, 55, 3.0040740966796875e-05
list, 1, 55, 3.075599670410156e-05
list, 1, 55, 2.8848648071289062e-05
list, 1, 55, 2.765655517578125e-05
list, 1, 55, 4.220008850097656e-05
list, 1, 60, 3.62396240234375e-05
list, 1, 60, 2.6464462280273438e-05
list, 1, 60, 2.6226043701171875e-05
list, 1, 60, 3.409385681152344e-05
list, 1, 60, 3.695487976074219e-05
list, 1, 60, 2.7418136596679688e-05
list, 1, 60, 4.5299530029296875e-05
list, 1, 60, 2.7894973754882812e-05
list, 1, 60, 3.337860107421875e-05
list, 1, 60, 3.4332275390625e-05
list, 1, 65, 4.0531158447265625e-05
list, 1, 65, 3.743171691894531e-05
list, 1, 65, 3.743171691894531e-05
list, 1, 65, 3.790855407714844e-05
list, 1, 65, 4.291534423828125e-05
list, 1, 65, 3.0279159545898438e-05
list, 1, 65, 2.9802322387695312e-05
list, 1, 65, 2.956390380859375e-05
list, 1, 65, 3.3855438232421875e-05
list, 1, 65, 3.3855438232421875e-05
list, 1, 70, 3.409385681152344e-05
list, 1, 70, 2.6226043701171875e-05
list, 1, 70, 2.4557113647460938e-05
